club,last_name,first_name,position,base_salary,guaranteed_compensation,
NYCFC,Mena,Jefferson,D,250000,261400,Jefferson Mena
NYCFC,Moralez,Maximiliano,M,2000000.04,2000000.04,Maximiliano Moralez
NYCFC,Okoli,Sean,F,52999.92,52999.92,Sean Okoli
NYCFC,Pirlo,Andrea,M,5600000,5915690,Andrea Pirlo
NYCFC,Rawls,Andre,GK,65633.4,65633.4,Andre Rawls
NYCFC,Ring,Alexander,M,340000.08,376666.75,Alexander Ring
NYCFC,Shelton,Khiry,F,92950,110450,Khiry Shelton
NYCFC,Stertzer,John,M,65000,65000,John Stertzer
NYCFC,Sweat,Ben,D,65004,65004,Ben Sweat
NYCFC,Villa,David,F,5610000,5610000,David Villa
NYCFC,Wallace,Rodney,M,220000.08,220000.08,Rodney Wallace
NYCFC,White,Ethan,D,65000,65000,Ethan White
NYRB,Abang,Anatole,F,65625,65625,Anatole Abang
NYRB,Adams,Tyler,M,75000,91041.67,Tyler Adams
NYRB,Allen,Brandon,F,65625,65625,Brandon Allen
NYRB,Baah,Gideon,D,230000,315500,Gideon Baah
NYRB,Basuljevic,Arun,M,53004,53004,Arun Basuljevic
NYRB,Bilyeu,Justin,D,54075,54075,Justin Bilyeu
NYRB,Collin,Aurelien,D,450000,450000,Aurelien Collin
NYRB,Davis,Sean,M,110000,127500,Sean Davis
NYRB,Etienne,Derrick,M,53000,58000,Derrick Etienne
NYRB,Grella,Mike,F,186000,188250,Mike Grella
NYRB,Gulbrandsen,Fredrik,F,360000,360000,Fredrik Gulbrandsen
NYRB,Kljestan,Sacha,M,650000,787500,Sacha Kljestan
NYRB,Lade,Connor,D,85000,92812.5,Connor Lade
NYRB,Lawrence,Kemar,D,100000,205600,Kemar Lawrence
NYRB,Lewis,Zeiko,M,75000,93750,Zeiko Lewis
NYRB,Long,Aaron,D,65000,65000,Aaron Long
NYRB,Martins,Felipe,M,275000,305000,Felipe Martins
NYRB,Meara,Ryan,GK,100008,105008,Ryan Meara
NYRB,Metzger,Dan,M,53004,53004,Dan Metzger
NYRB,Murillo,Michael,D,65004,73754,Michael Murillo
NYRB,Muyl,Alex,F,65625,69625,Alex Muyl
NYRB,N'dam,Hassan,D,53004,53004,Hassan N'dam
NYRB,Perrinelle,Damien,D,175008,175008,Damien Perrinelle
NYRB,Robles,Luis,GK,290000,292500,Luis Robles
NYRB,Royer,Daniel,M,450000,450000,Daniel Royer
